58435fcab804439efdcaa7ecca0fd783,0.0,0.0,0.0,,,engineer,full time,dixon, ca,Altec,Industries,Experienced,(Non-Manager),
64d0272dc8496abfd9523a8df63c184c,0.0,0.0,0.0,,,shift supervisor,full time,camphill, pa,Retail,,Project/Program,Management,
1e2637cb5f7a2c4615a99a26c0566c66,0.0,0.0,0.0,,,construction pm,full time,charlottesville, va,Computer,IT Services,Experienced,(Non-Manager),
a6a2b5e825b8ce1c3b517adb2497c5ed,0.0,0.0,0.0,,,housekeeper ,part time,austin, tx 78746,Hotels, Lodging Personal  Household Services,Customer,Support/Client Care,
2f8bdf60db4d85627ab8f040e67aa78d,0.0,0.0,0.0,,,aflac insurance sales agent insurance sales agent ,full time,berryville, va 22611,Insurance,,Customer,Support/Client Care,
3a2adeacbf35985a508f630661eebb43,0.0,0.0,0.0,,,sales associate ,full time,columbus, in,Business,Services   Other,Customer,Support/Client Care,
b43c077756d5a326c4854e1399fd2464,900.0,1300.0,1100.0,hour,,primrose private preschool teacher ,full time,houston, tx 77098,Education,,Entry,Level,
d8491fcefe14d1398de419984dccf427,8000000.0,9500000.0,8750000.0,year,,superintendent ,full time,houston, tx,Construction,  Industrial Facilities  InfrastructureConstruction   Residential  Commercial Office,Building,Construction/Skilled Trades,
8d8f39de4a07929a92c2e6dd7a72a0af,0.0,0.0,0.0,,,pest control tech,full time,denver, co,Accounting, Auditing Services,Installation/Maintenance/Repair,,
426ea422646470737cb364453e94f38a,0.0,0.0,0.0,,,content developer for matlab code generation ,full time,natick, ma,Education,,Experienced,(Non-Manager),
9331cb7b561348a692f7afc58ac78926,0.0,0.0,0.0,,,business ,full time,houston, tx,Legal,Services,Business/Strategic,Management,
98fe0175cd3ff1d6fb6a288bc524d7b9,0.0,0.0,0.0,,,real estate underwriter,full time temporary,houston, tx 77027,Accounting, Auditing Services,Accounting/Finance/Insurance,,
de49594f00f4af8c1e0fbffd85120208,0.0,0.0,0.0,,,traveling customer training professional ,full time,houston, tx 77040,AllComputer,SoftwareComputer IT Services,Customer,Support/Client Care,
779bb4c9bf038b7fb775134736d36fd4,7000000.0,10000000.0,8500000.0,year,,sr process engineer,full time,sr. process engineer, manufacturing,Chicago, IL,Engineering,,
ff8f12f0bf284440a35bbce91af5bbd6,0.0,0.0,0.0,,,associate product developer ,full time,saint louis, mo 63116,Manufacturing,  Other,Experienced,(Non-Manager),
c502773af0a9fe5e1a3373f09f9cb9d7,0.0,0.0,0.0,,,technical writer ,full time,washington, dc,Computer,IT Services,Experienced,(Non-Manager),
ceb44cca7cd280adcb0c84c20f3c6c21,6800000.0,7200000.0,7000000.0,year,,rf system tech,full time temporary,rf system technician, field service,Oklahoma,City  OK,Engineering,,
d1b78f7f4b2001582366c5a7941ed28c,0.0,0.0,0.0,,,quality engineer,full time,monroeville, pa 15146,Aerospace, Defense,Experienced,(Non-Manager),
4e195c4c6d72e738a1e13aea51005398,0.0,0.0,0.0,,,bi-lingual editorial strategist ,full time temporary,bi-lingual editorial strategist,,San,Francisco  CA,Editorial/Writing,,
9b9909d9b767574adc8f8e51cc4667a5,0.0,0.0,0.0,,,mgr apprenticeship program ,full time,houston, tx 77040,Advertising, PR ServicesManagement Consulting ServicesBusiness Services   Other,Business/Strategic,Management,
eea9b50afc4fece9f9d6ff0dbf659784,5800000.0,6500000.0,6150000.0,year,,japanese,full time,charleston, wv,Manufacturing,  Other,Experienced,(Non-Manager),
1f2da47e60173c6667395f081c048713,3200000.0,0.0,3200000.0,,,office admin,full time,denver, co 80237,Other,Not Classified,Experienced,(Non-Manager),
562eeb3d055f4483cf7f1750a4b66f61,0.0,0.0,0.0,,,respiratory therapist,full time,respiratory therapist prn nights - kindred hospital medical center ( job number: 266123 ) description it's simple. you want to work in a healthcare setting where you are valued and appreciated - where you receive respect from your superiors and co-workers as well as the patients you treat. you want to be challenged by your job without being overwhelmed by it. you want to play an instrumental role in helping a patient recover, sometimes against strong odds,Healthcare,Services,Medical/Health,,
218b1fcde8264f6aa454aa823aa13780,0.0,0.0,0.0,,,project engineer,full time,aurora, co 80011,Construction,  Residential  Commercial Office,Entry,Level,
b15ef853a3ffac7425c48460a32bd0d3,0.0,0.0,0.0,,,commissioning editor,full time,new york, ny 10013,Printing, Publishing,Editorial/Writing,,
4333b6abfff1445594a05884dc79950b,0.0,0.0,0.0,,,retail merchandise apprenticeship,full time,houston, tx 77040,RetailAdvertising, PR ServicesBusiness Services   Other,Marketing/Product,,
bcf70c41acf97ac8024c0b38c6fcaf87,0.0,0.0,0.0,,,cashier ,full time,houston, tx,Retail,,Experienced,(Non-Manager),
54b3bb1da783d46a5b4db82995ff357f,0.0,0.0,0.0,,,specialist,full time,houston, tx 77001,All,,Experienced,(Non-Manager),
6d01d5ecd8f9a5d605935b609e5183c0,0.0,0.0,0.0,,,sales consultant ,full time,livermore, ca 94551,Electronics, Components   Semiconduct Mfg,Experienced,(Non-Manager),
8259b38d929efd6e45d85c40070f2974,0.0,0.0,0.0,,,journal development mgr ,full time,new york, ny 10013,Printing, Publishing,Editorial/Writing,,
"f15dfb5ad12ddb6acb8a26eb04f2220f,4500000.0,10000000.0,7250000.0,year,bonus,upscale casual restaurant mgr,full time,houston, tx,Restaurant,Food Services,Manager,(Manager/Supervisor of Staff),""benefits, 401k"""
9818fc5a835f1ac68bdf41b69349101e,0.0,0.0,0.0,,,land assistant ,full time,houston, tx,Computer,Software,Experienced,(Non-Manager),
4bff3407b695b2751f075772512d5455,0.0,0.0,0.0,,,tax specialist ,full time,houston, tx 77040,Metals, Minerals,Experienced,(Non-Manager),
ea722c991c6d3816965702948e320cb6,4000000.0,5000000.0,4500000.0,year,salar,commercial lines account mgr ,full time,ocean, nj 07712,Insurance,,Experienced,(Non-Manager),
